Date,FB: Level Achieved - Tier 1,FB: Level Achieved - Tier 2,FB: Level Achieved - Tier 3,,FB: Test Campaigns,FB: Purchase Tier 3,FB: Purchase ,TikTok: Pangle Android Achieve Level,TikTok: Pangle Android Purchase,TikTok: Android Achieve Level,TikTok: Purchase Roas,TikTok: Pangle And Loanapply,TikTok: Bau,TikTok: Loanapply,TikTok: Spc Loan Apply
6/6/2023,3934,1884,1929,,858,,1,0,0,0,0,592,,0,
6/7/2023,3217,1635,1546,,1848,,,0,0,0,0,680,0,0,
6/8/2023,3374,1685,1545,,727,,1,0,0,0,0,686,0,0,
6/9/2023,3368,1703,1556,,163,,1,0,0,0,0,763,,0,
6/10/2023,2936,1533,1440,,158,,1,0,0,0,0,703,0,0,
6/11/2023,3128,1591,1562,,132,,1,0,0,0,0,728,,0,
6/12/2023,3422,1990,1906,,174,,,0,0,0,0,878,,,
6/13/2023,3988,2176,1901,,1890,,,0,0,0,0,1275,0,0,
6/14/2023,4063,1917,1673,,2885,,1,0,0,0,0,1138,,0,
6/15/2023,3811,1862,1531,,2709,,4,0,0,0,0,1125,,0,
6/16/2023,3148,1621,1314,,2439,,,0,0,0,0,1067,,0,
6/17/2023,3091,1508,1367,,1142,,,0,0,0,0,970,0,0,
6/18/2023,3035,1640,1433,,589,,,0,0,0,0,968,,0,
6/19/2023,3400,1796,1590,,2014,,,0,0,0,0,1070,0,,
6/20/2023,3678,1847,1546,,1694,,3,0,0,0,,997,,0,
6/21/2023,3401,1696,1383,,1398,,1,0,0,,,929,0,0,
6/22/2023,3064,1564,1277,,1418,,1,0,0,,0,902,0,0,
6/23/2023,2697,1464,1252,,399,,,0,0,0,0,742,,,
6/24/2023,2601,1406,1231,,96,,2,0,0,,,658,,,
6/25/2023,2779,1477,1307,,100,,,0,0,0,0,764,0,0,
6/26/2023,4119,2082,1693,,839,,3,0,0,0,0,948,0,,
6/27/2023,5759,2618,1989,,3734,,6,0,0,0,0,1039,0,0,
6/28/2023,4519,2116,1677,,4252,,6,0,0,,,821,0,,
6/29/2023,4259,2131,1686,,4088,,1,0,0,0,0,628,0,0,
6/30/2023,3951,1933,1440,,3731,,1,0,0,,,697,,0,
7/1/2023,4124,1997,1729,,1049,,2,0,0,0,0,699,,0,
7/2/2023,4131,2183,1903,,224,,1,0,0,0,0,701,,0,
7/3/2023,4175,2312,1734,,654,,4,0,0,,,818,,,
7/4/2023,4255,2224,1516,,1759,,3,0,0,,,798,,,
7/5/2023,3907,2014,1249,,1897,,1,0,0,0,,816,,0,
7/6/2023,3636,1811,1250,,2232,,,0,0,0,0,668,,0,
7/7/2023,3616,1769,1216,,1779,,,0,0,0,0,689,,,
7/8/2023,3344,1811,1193,,856,,,0,0,0,,667,,,
7/9/2023,3583,1869,1425,,733,,1,0,0,,,645,,0,
7/10/2023,3986,2214,1452,,2416,,,0,0,,,695,0,0,
7/11/2023,4003,2072,1417,,3414,,,0,0,0,0,614,,,
7/12/2023,3776,1771,1317,,3062,,1,0,0,0,,586,,0,
7/13/2023,3271,1605,1108,,2837,,,0,0,,0,538,,0,
7/14/2023,3128,1695,1181,,1873,,1,0,0,,,478,0,0,
7/15/2023,3094,1860,1239,,1629,,,0,0,,,569,,0,
7/16/2023,2898,1848,1312,,1478,,,0,0,,,522,,0,
7/17/2023,3544,2136,1353,,1693,,2,0,0,,,646,,0,
7/18/2023,4029,2281,1230,,1621,,1,0,0,0,0,577,,,
7/19/2023,3707,2036,1152,,1432,,2,0,0,,0,534,,0,
7/20/2023,3499,2033,1187,,1430,,,0,0,,,485,,0,
7/21/2023,3288,1863,1084,,879,,,0,0,,,571,,0,
7/22/2023,3059,1805,1014,,583,,3,0,0,,0,496,0,0,
7/23/2023,3027,1838,1047,,581,,,0,0,0,,556,,,
7/24/2023,3517,1985,1059,,697,,4,0,0,,,617,,0,
7/25/2023,3928,2058,1232,,1579,,3,0,0,0,0,592,,0,
7/26/2023,3468,1967,1001,,1626,,1,0,0,0,0,572,,,
7/27/2023,3167,1699,966,,1437,,1,0,0,,,563,,,
7/28/2023,3220,1934,1184,,1433,,1,0,0,,,513,,0,
7/29/2023,2671,1339,866,,615,,1,0,0,,,486,,0,
7/30/2023,3488,2725,1488,,687,,,0,0,,,493,0,,
7/31/2023,3574,2173,1205,,631,,,0,0,,0,481,,,
8/1/2023,4020,2539,1227,,1659,90,1,0,0,,0,657,0,,
8/2/2023,3916,2541,799,,1947,496,1,0,0,0,0,749,,,
8/3/2023,3712,2265,683,,1811,420,,0,0,0,0,666,,0,
8/4/2023,3502,2346,662,,1824,491,,0,0,0,0,510,,0,
8/5/2023,3036,2163,660,,590,418,1,0,0,0,0,450,,0,
8/6/2023,3071,2180,683,,218,492,,0,0,0,0,424,0,0,
8/7/2023,3663,2321,700,,1669,580,1,0,0,0,0,543,,,
8/8/2023,3888,2108,718,,2073,547,4,0,0,0,0,536,,,
8/9/2023,3351,1614,559,,1746,410,3,0,0,,,481,,,
8/10/2023,2096,522,302,,1849,266,2,0,0,,,446,,0,
8/11/2023,1906,529,428,,842,316,2,0,0,,,491,,,
8/12/2023,2324,872,643,,716,491,,0,0,,0,480,,,
8/13/2023,2204,815,610,,709,506,1,0,0,,,405,,,0
8/14/2023,2693,965,666,,2008,539,1,0,0,0,,550,,,
8/15/2023,2338,645,559,,1947,447,,0,0,,,538,,,
8/16/2023,2372,676,529,,1870,463,,0,0,0,0,600,,0,
8/17/2023,2105,583,448,,1764,431,,0,0,0,0,644,,,
8/18/2023,1922,529,429,,815,349,,0,0,,0,597,,,
8/19/2023,1781,504,447,,440,337,,0,0,0,0,531,,0,
8/20/2023,1855,520,489,,510,421,,0,0,0,0,570,,,
8/21/2023,2034,606,543,,2095,498,6,0,0,0,,578,,,
8/22/2023,2307,644,572,,2313,577,1,0,0,0,0,520,,0,
8/23/2023,2184,603,549,,2139,499,,0,0,0,0,521,0,,
8/24/2023,1811,587,444,,2061,437,,0,0,,,448,,,
8/25/2023,1423,465,430,,790,360,,0,0,,,435,,,
8/26/2023,1406,468,422,,437,376,,0,0,0,,424,,,
8/27/2023,1226,455,391,,444,373,2,0,0,,,389,,0,0
8/28/2023,2074,728,655,,1990,662,,0,0,,,491,,,
8/29/2023,2885,1004,809,,2524,728,2,0,0,,,554,,,
8/30/2023,2728,1042,746,,2445,636,1,0,0,,,497,,0,
8/31/2023,2252,747,565,,2225,372,1,0,0,0,0,436,0,0,
9/1/2023,1968,756,614,,1187,630,,0,0,0,0,457,,,
9/2/2023,1935,791,610,,805,742,,0,0,0,0,389,,,
9/3/2023,1973,820,592,,801,715,1,0,0,0,0,378,,,
9/4/2023,2263,847,770,,922,712,3,0,0,0,0,527,,,
9/5/2023,2458,978,746,,983,728,3,0,0,0,0,460,,0,
9/6/2023,2151,848,797,,894,434,2,0,0,0,0,353,,,
9/7/2023,2334,872,1112,,871,61,,0,0,,,423,,0,
9/8/2023,1815,642,824,,615,25,,0,0,,,458,,,
9/9/2023,1877,693,903,,536,21,,0,0,0,0,382,,,
9/10/2023,1877,691,999,,586,19,,0,0,,,369,,,
9/11/2023,1876,1167,1063,,1843,18,1,0,0,,,478,,,
9/12/2023,2078,1477,1144,,2058,20,2,0,0,,,592,,,
9/13/2023,2156,1495,1018,,1687,18,,0,0,,,571,,0,
